Customer_ID,Age,Annual_Income,Monthly_Spending,Purchase_Frequency,Avg_Order_Value,Days_Since_Last_Purchase,Total_Items_Purchased,Returns_Count,Satisfaction_Score,Tenure_Months,Discount_Usage,Website_Visits,Email_Opens,Mobile_App_Usage,Social_Media_Engagement,Referral_Count,Loyalty_Points,Avg_Session_Length,Cart_Abandonment,Review_Count,Payment_Method
45,38,42285,2086,10,119,80,279,5,3,51,0,99,6,20,7,8,197,15,11,4,Cash
46,26,107436,734,16,50,97,234,2,3,35,12,53,48,10,7,0,2194,15,0,13,Cash
47,56,16605,2025,16,405,113,27,7,2,12,4,61,8,13,15,1,1598,57,0,1,Cash
48,35,86158,2156,31,35,61,122,6,1,30,19,46,40,33,9,0,1600,48,11,11,UPI
49,21,87303,2921,42,156,137,260,6,4,5,0,85,41,33,16,3,3692,40,3,19,UPI
50,42,42139,2370,25,348,6,242,5,2,34,19,74,12,24,0,3,3865,51,3,13,Cash
51,31,92149,1539,13,185,109,338,4,1,22,2,80,14,3,17,4,683,20,7,18,Cash
52,67,71138,652,6,478,35,288,9,5,39,17,7,4,25,9,4,3083,15,0,19,Card
53,26,91125,815,44,329,39,211,7,3,13,8,4,28,15,3,7,3989,35,9,14,Card
54,43,28918,1387,9,459,150,92,4,4,57,13,91,34,9,0,2,332,6,2,19,UPI
55,19,100655,1813,45,489,169,134,8,4,47,16,52,26,1,3,5,1771,30,10,16,Card
56,37,42446,1983,36,119,118,184,8,4,54,13,89,26,34,3,2,4200,57,0,13,UPI
57,45,28046,1207,43,128,5,78,0,3,3,3,31,7,18,3,1,2721,8,8,17,UPI
58,64,39818,1441,20,362,170,56,5,1,53,4,75,31,5,16,7,806,31,9,4,NetBanking
59,24,115894,210,18,192,87,381,6,2,20,16,84,19,18,8,0,1064,48,11,11,UPI
60,61,19324,350,43,256,76,265,2,1,31,1,36,9,7,18,8,888,47,8,9,Card
61,25,91323,2530,21,181,158,224,6,2,5,4,54,12,13,12,6,2923,32,6,7,NetBanking
62,64,24111,2154,4,412,57,39,6,4,24,3,54,28,9,3,9,320,45,12,5,Card
63,52,53110,558,33,235,127,290,1,1,40,3,17,34,2,4,3,3957,58,11,14,UPI
64,31,31389,1207,27,283,29,421,6,4,54,5,75,7,37,12,2,2382,52,14,11,UPI
65,34,56427,307,7,282,165,491,0,5,33,19,30,28,28,15,5,3231,15,7,5,Cash
66,53,94579,999,6,311,87,246,4,4,8,12,99,30,14,4,8,2311,18,0,11,UPI
67,67,43746,121,15,293,141,257,8,4,24,4,22,40,22,7,8,3601,13,4,14,NetBanking
68,57,102886,509,18,22,160,377,6,2,50,6,43,29,22,15,3,1500,24,14,11,UPI
69,21,15117,994,32,47,46,34,6,5,20,19,27,21,17,0,9,1568,40,13,8,Cash
70,19,99471,614,11,345,116,83,1,4,16,0,37,20,18,5,4,3281,14,1,18,UPI
71,23,28234,908,20,447,112,215,7,4,50,13,46,11,27,10,8,1519,28,12,1,UPI
72,59,118864,973,24,168,151,499,2,5,52,3,35,10,25,15,1,1918,11,0,12,UPI
73,21,68441,113,15,47,45,323,7,5,12,16,4,1,9,4,1,4089,6,2,12,Cash
74,46,15846,1070,48,329,145,103,2,1,13,13,80,49,3,15,4,1865,56,6,7,Card
75,35,25954,2234,7,457,104,384,9,2,45,15,80,40,1,6,0,1405,25,0,12,UPI
76,43,94239,1660,21,84,85,136,6,5,42,13,85,1,2,18,7,2723,1,10,3,NetBanking
77,61,61514,1424,42,375,134,434,1,5,39,15,26,33,6,0,4,4,25,1,5,Cash
78,51,103236,1366,26,40,108,34,3,3,25,19,19,2,15,8,9,1168,2,1,5,NetBanking
79,27,112579,2269,44,271,18,343,5,5,46,7,81,15,30,17,1,2398,32,3,11,UPI
80,53,21469,849,14,254,94,364,8,2,32,2,45,3,9,12,8,2630,13,14,11,Cash
81,31,45105,784,37,246,150,125,4,4,24,18,26,22,18,14,1,347,33,11,16,UPI
82,48,57101,2027,21,32,33,57,8,4,48,0,22,49,27,2,6,4220,32,2,6,NetBanking
83,65,79323,2456,18,332,158,235,4,4,47,1,58,19,16,9,7,1813,56,2,14,Cash
84,32,106922,794,5,68,126,275,9,4,44,14,63,24,27,8,5,3342,24,9,16,Card
85,25,73067,2435,3,137,160,108,7,3,9,9,28,29,18,12,6,2574,27,4,9,Card
86,31,64376,406,23,73,170,468,0,5,40,17,65,17,36,15,0,3825,4,2,19,Card
87,40,60587,2089,26,157,122,20,6,4,50,13,44,41,22,2,3,4593,24,10,5,UPI
88,57,51976,761,37,72,138,94,3,1,23,16,43,10,19,14,6,52,23,6,8,Cash
89,38,119587,648,24,63,115,414,4,4,50,12,37,28,12,16,0,148,29,4,14,NetBanking
90,33,82584,411,49,322,164,223,5,5,13,0,66,16,12,13,0,502,34,3,15,NetBanking
91,62,119537,1182,19,72,162,182,4,4,59,4,17,25,10,6,5,869,21,11,7,UPI
92,35,93477,1837,25,93,28,400,0,3,32,12,40,22,14,19,3,3521,30,2,15,UPI
93,64,57533,854,21,65,11,218,8,2,50,13,38,47,16,15,2,4314,26,14,4,NetBanking
94,41,16828,134,12,32,167,457,1,2,15,2,85,19,27,7,4,3871,20,11,17,Cash
95,43,16917,544,41,184,47,391,8,5,36,14,61,44,18,3,8,1300,16,3,19,UPI
96,42,35618,2240,33,121,127,73,9,2,49,18,9,1,3,19,9,2499,3,13,13,Cash
97,62,47254,2082,4,299,147,267,1,2,5,16,77,23,21,14,9,4033,49,14,1,NetBanking
98,58,62362,1330,42,277,118,341,8,1,22,2,75,30,21,4,9,3289,37,11,2,Cash
99,46,35128,452,7,489,143,130,5,5,16,15,61,26,36,12,2,4833,58,1,13,Card
100,32,74383,1002,22,356,126,307,8,5,41,13,80,1,38,5,4,3853,40,0,6,NetBanking
101,62,80545,1455,33,375,156,475,5,2,10,11,16,13,33,4,9,2451,44,2,14,Card
102,18,97180,1848,17,417,152,63,5,2,24,11,2,3,32,16,4,4385,25,10,16,NetBanking
103,42,102958,258,24,157,72,340,1,2,18,10,72,48,39,6,8,338,23,1,0,Card
104,24,24865,2077,34,182,107,281,7,3,49,16,43,12,32,5,9,2824,44,0,8,Cash
105,26,17219,1056,28,428,137,250,2,4,18,7,42,35,11,1,3,1693,59,0,13,NetBanking
106,41,54809,2171,43,406,175,252,6,3,7,16,77,34,1,10,0,986,1,1,15,NetBanking
107,18,20287,503,41,130,33,27,4,5,4,19,57,43,27,6,9,3490,33,12,12,Card
108,61,49387,2952,39,121,19,492,2,1,26,10,81,7,9,7,4,2733,15,12,5,Cash
109,25,23512,615,22,36,74,196,0,4,5,1,88,1,21,4,0,3767,17,8,0,NetBanking
110,41,16342,2879,49,287,168,355,7,1,55,9,67,5,16,17,5,4076,34,12,3,UPI
111,28,78076,1487,17,201,175,153,2,5,16,9,30,30,25,15,9,2006,17,12,2,Card
112,68,34216,2679,34,391,157,271,1,5,35,10,13,9,2,13,9,3107,52,4,16,NetBanking
113,34,108070,1055,6,43,178,450,0,1,26,5,19,43,6,11,6,4468,58,8,1,Cash
114,25,94767,2299,46,48,98,373,3,1,18,3,7,20,7,16,0,3330,41,7,18,Cash
115,52,112829,1812,6,190,141,440,7,1,29,11,9,41,19,4,9,3041,44,12,19,Cash
116,52,41614,707,34,428,129,248,2,5,23,10,83,9,11,13,3,530,4,10,7,Cash
117,50,51258,2567,1,247,162,313,0,2,53,12,54,22,34,5,8,923,13,5,14,Card
118,22,108789,1373,10,397,93,307,3,1,14,4,86,2,16,14,0,4118,4,0,5,NetBanking
119,59,57078,1635,21,207,176,85,8,4,15,5,82,31,27,6,8,240,7,9,19,Card
120,56,98524,2725,5,365,48,197,0,5,49,0,61,19,9,13,7,1896,46,4,1,Card
121,58,111573,2482,2,249,177,342,1,3,33,5,87,9,21,17,4,3324,59,11,14,Cash
122,45,27219,1541,22,340,64,397,8,3,25,17,2,28,37,0,5,813,9,0,19,UPI
123,24,15235,1897,48,359,61,496,1,4,21,8,50,40,32,5,6,4750,23,6,11,Cash
124,26,57929,394,2,138,157,255,2,2,17,14,75,45,21,2,3,782,33,9,2,UPI
125,25,82444,854,10,175,39,139,6,1,23,7,31,33,36,4,5,4055,33,13,9,Card
126,29,23567,1494,34,291,128,483,2,5,57,18,33,36,12,11,6,7,20,10,13,Cash
127,51,116834,285,16,194,88,324,8,1,43,15,78,19,26,10,5,3773,4,7,13,Cash
128,50,85792,1369,48,484,26,420,5,5,17,5,80,7,14,12,5,4670,1,7,2,Card
129,65,80441,736,39,123,17,292,2,3,58,5,11,6,21,15,1,3139,54,6,0,Cash
130,40,99555,1391,22,111,71,88,8,1,14,2,33,5,29,17,4,3789,42,1,19,NetBanking
131,41,88698,629,12,205,13,81,0,4,29,9,7,10,39,16,2,4051,34,4,0,UPI
132,54,20415,2168,24,479,69,272,9,2,20,0,31,43,36,16,6,517,27,3,1,UPI
133,52,51159,893,47,302,26,200,2,4,30,13,48,17,33,10,3,3190,21,4,18,UPI
134,61,58925,2247,40,200,49,376,0,2,19,3,47,41,33,19,0,3102,24,9,9,Cash
135,57,20951,2899,38,189,7,384,1,1,53,11,78,28,34,9,5,4578,15,8,3,NetBanking
136,39,102388,577,10,206,58,439,7,1,39,5,92,24,18,15,5,2716,35,14,3,Cash
137,44,23007,1722,35,194,49,72,6,2,56,10,53,20,7,1,6,578,25,3,12,UPI
138,52,56832,1039,49,241,103,497,1,3,13,11,80,45,38,16,7,4482,55,14,8,Cash
139,18,73596,625,32,252,53,389,1,5,18,9,19,2,32,19,2,4507,9,14,6,UPI
140,52,45523,2481,7,181,62,21,8,4,23,17,81,17,27,9,5,1865,17,11,15,Card
141,54,103861,101,21,440,17,150,5,4,46,6,90,23,36,12,9,1376,21,7,17,UPI
142,64,101740,474,20,153,171,263,4,4,33,6,6,46,24,11,1,2938,13,7,2,Card
143,31,30524,2440,26,410,25,52,9,1,39,10,49,37,35,14,8,905,3,1,19,Card
144,20,34282,2984,4,499,131,26,5,4,40,3,73,9,16,6,1,964,4,13,19,Card
145,18,38930,652,46,243,29,72,8,5,18,19,50,26,23,12,2,1976,4,5,9,UPI
146,22,15077,2465,22,172,117,262,6,5,9,0,81,11,20,11,9,4759,43,4,15,NetBanking
147,43,35611,1625,15,52,160,474,9,2,33,12,95,6,1,11,1,4920,28,1,2,UPI
148,31,31984,1951,40,74,26,385,9,1,32,17,12,16,30,1,8,1887,7,11,10,Cash
149,56,29060,480,21,461,124,301,8,5,54,8,23,0,32,4,0,2447,26,9,9,Cash
150,44,97985,1746,15,26,144,478,3,3,17,8,54,49,29,1,4,991,11,3,15,NetBanking
151,26,99056,113,22,263,25,17,1,1,19,8,69,25,11,19,0,3556,24,6,7,NetBanking
152,32,58303,603,28,332,54,334,7,1,27,9,59,14,11,12,4,3959,43,12,8,NetBanking
153,32,74207,2378,14,145,156,99,3,5,6,1,36,32,23,2,7,3604,10,0,14,Card
154,43,90046,2108,27,31,73,217,8,3,35,5,3,36,23,10,7,1083,37,14,2,NetBanking
155,59,44287,229,41,35,120,301,3,2,56,14,58,46,10,15,7,434,13,8,3,NetBanking
156,30,108709,937,40,227,56,293,7,5,37,2,88,30,12,0,1,20,44,9,12,NetBanking
157,68,54711,2140,28,62,65,127,8,3,34,10,55,34,26,18,7,2922,42,11,11,UPI
158,49,26954,127,26,392,93,358,8,1,20,5,57,0,7,10,4,1925,39,0,8,Cash
159,56,88340,2213,49,480,86,184,9,3,25,2,17,7,9,8,0,1472,19,14,13,Cash
160,66,87101,1352,2,154,80,85,3,1,4,10,39,11,7,13,6,1099,51,11,18,NetBanking
161,69,86520,360,25,247,169,110,0,5,10,14,90,18,19,8,5,2637,19,4,6,Cash
162,49,102062,2146,3,130,108,423,2,5,10,12,68,24,7,6,4,389,12,6,15,UPI
163,21,117974,1572,8,326,179,160,8,4,24,19,55,31,8,15,0,3413,52,7,19,Cash
164,47,33574,1547,44,476,118,409,3,4,21,9,45,11,6,2,0,2615,22,1,4,Card
165,54,24184,559,33,179,157,279,4,4,11,5,76,12,13,18,5,1354,47,3,9,UPI
166,40,34096,400,42,350,83,467,6,5,27,14,1,27,27,3,9,4521,37,1,17,Cash
167,56,82728,2434,35,283,147,80,4,2,16,17,21,0,1,6,6,5,56,3,10,Cash
168,62,49016,729,6,244,169,189,3,5,26,17,83,5,7,11,9,190,30,14,6,UPI
169,32,26246,369,39,490,173,133,1,3,30,6,21,7,12,17,9,147,46,5,13,Cash
170,60,60558,2739,23,236,15,390,1,5,49,14,52,3,20,4,0,4500,12,5,19,Cash
171,46,33381,2093,25,475,131,302,3,5,16,17,82,4,27,9,8,4353,29,11,17,NetBanking
172,53,51455,1728,43,64,139,294,9,1,7,17,43,24,34,11,3,3550,21,12,10,Card
173,30,107263,1901,19,233,174,204,9,1,16,19,52,21,22,7,4,4919,11,1,11,UPI
174,49,19018,2991,5,78,30,408,8,1,35,8,67,27,14,18,1,4105,37,10,17,NetBanking
175,24,26302,961,11,151,57,237,7,5,58,1,44,38,1,14,9,1110,48,3,1,Cash
176,68,82506,1380,12,123,146,440,2,2,16,7,32,22,11,0,7,3833,58,3,0,UPI
177,39,56157,2280,10,214,179,439,8,3,40,19,10,3,35,2,1,4933,18,13,9,UPI
178,45,69917,1899,8,432,128,445,4,3,12,1,64,3,2,17,2,624,44,0,0,Card
179,19,107738,1806,24,176,48,284,2,2,35,10,79,46,4,17,8,4125,59,14,5,Card
180,59,111646,2660,28,117,136,470,4,2,49,6,69,20,2,1,1,2175,27,13,6,UPI
181,62,98122,2460,41,245,22,115,9,3,21,5,68,36,18,4,5,3149,37,1,16,Card
182,23,39519,675,36,431,6,30,3,4,50,9,28,40,1,0,3,1078,48,13,8,Card
183,45,111809,2103,37,224,104,73,7,1,43,4,53,1,36,9,6,3551,12,2,6,Cash
184,45,102487,1407,21,98,36,174,4,1,36,10,51,6,16,19,5,2352,23,12,16,Card
185,61,71819,2056,8,143,79,36,9,3,48,0,53,48,13,9,9,545,34,14,2,Card
186,61,95910,2834,9,490,116,320,7,2,17,1,4,15,27,4,8,1195,38,10,15,NetBanking
187,37,86324,2120,47,447,57,294,8,4,32,0,79,16,26,17,8,2069,23,4,4,Cash
188,47,20408,2312,15,237,49,157,3,3,41,18,17,19,9,14,9,3358,53,10,19,Cash
189,28,74379,2452,48,23,173,290,6,1,6,1,67,22,2,19,3,2438,25,7,17,UPI
190,45,40053,1755,46,109,82,335,1,5,24,19,74,33,35,7,0,616,4,14,0,Card
191,42,24446,1679,40,123,66,328,5,2,27,3,47,10,37,16,1,4244,30,5,3,NetBanking
192,56,15922,1947,18,412,77,173,7,5,20,11,56,33,24,11,7,3343,30,2,10,NetBanking
193,50,113723,2303,42,138,45,395,6,3,25,19,23,32,21,11,9,1811,13,5,19,Cash
194,18,66356,1490,20,152,79,415,6,1,2,17,18,25,38,0,7,171,42,6,8,Card
195,44,25789,1842,6,331,20,233,7,4,9,0,1,1,29,3,1,4142,49,5,7,NetBanking
196,69,112720,2025,12,115,123,281,6,5,28,0,35,22,20,7,3,625,14,9,7,UPI
197,30,81656,719,2,487,67,155,4,4,53,13,64,40,29,0,0,4063,56,5,4,Card
198,58,59028,1374,7,453,83,462,6,1,38,3,58,21,27,14,6,2254,47,0,11,Card
199,20,79484,1056,16,350,3,447,9,5,3,4,95,33,30,17,3,452,8,2,0,Card
200,56,47154,2039,3,162,64,365,2,4,20,10,59,14,25,0,7,1418,55,6,14,NetBanking
201,23,97870,2481,45,307,40,39,4,4,6,12,1,9,21,10,8,753,24,3,17,Cash
202,25,17336,1068,3,47,59,54,6,5,39,15,3,14,20,1,8,3372,18,11,5,Cash
203,44,118677,2658,27,297,62,284,8,1,33,12,67,41,0,0,2,2723,35,3,9,UPI
204,26,82779,1416,43,252,132,480,1,4,55,1,37,28,36,11,4,3010,25,6,13,NetBanking
205,54,34029,1143,40,36,60,43,3,3,1,15,83,22,12,15,5,2911,17,8,7,Card
206,50,74201,381,38,78,116,150,6,5,37,5,29,16,20,9,5,1225,32,13,2,UPI
207,68,47265,2944,33,109,75,436,0,2,6,13,89,8,8,17,9,167,56,10,18,UPI
208,59,117916,2266,28,218,122,327,1,2,45,0,33,49,16,14,7,3685,24,12,11,Cash
209,61,58872,1158,1,381,107,383,8,1,34,16,61,35,20,16,5,85,7,12,11,Card
210,41,61197,297,8,460,96,230,9,3,47,10,93,8,30,9,5,1677,13,14,14,Card
211,32,70180,2632,37,45,91,365,6,4,15,18,90,15,38,2,3,1982,27,1,6,NetBanking
212,49,38710,1182,32,44,158,31,9,2,45,2,4,35,21,15,6,4944,48,8,3,NetBanking
213,49,44486,2984,48,413,130,189,6,1,26,10,14,47,11,5,7,1486,5,2,8,NetBanking
214,41,86907,1284,43,320,62,445,5,3,57,4,91,32,5,2,2,441,36,5,15,UPI
215,58,86895,1108,37,358,49,376,2,3,14,16,33,30,15,8,6,270,26,3,12,Card
216,69,79435,2838,4,286,137,429,9,1,58,6,22,5,25,10,2,343,42,0,3,Cash
217,66,55631,1329,30,480,92,338,2,1,54,9,48,9,4,12,7,1206,45,8,8,UPI
218,66,116532,1135,6,200,159,240,1,4,7,10,3,15,8,17,0,3081,31,10,17,UPI
219,69,35103,589,46,475,124,412,5,1,46,2,87,3,39,3,0,1257,10,14,14,Cash
220,29,79772,375,19,379,61,47,3,4,58,19,85,21,13,7,5,2291,46,5,14,Cash
221,56,29382,2840,32,87,48,79,4,4,31,9,23,12,29,12,9,1532,26,7,5,NetBanking
222,19,99291,2389,9,370,153,125,2,5,24,9,68,15,25,9,8,3422,22,14,10,Cash
223,20,116195,1339,12,431,164,248,5,3,59,13,21,28,28,1,3,4362,12,14,7,Cash
224,66,18756,1374,11,478,136,344,2,3,31,11,43,5,18,7,5,1653,32,1,16,Cash
225,54,35609,225,46,340,58,450,7,3,29,14,95,25,7,5,4,4988,27,6,16,Cash
226,66,31478,316,16,68,101,157,8,5,42,9,85,10,22,15,0,238,33,5,17,NetBanking
227,34,115978,1308,1,194,112,18,3,4,32,9,26,23,34,17,5,914,53,1,3,UPI
228,66,54666,1346,45,71,173,297,8,4,17,18,41,28,30,16,8,1438,52,1,14,Card
229,19,90683,2642,21,121,62,397,6,1,14,0,99,2,34,5,2,3016,20,3,1,Card
230,19,114097,2574,30,235,39,59,2,5,40,9,38,9,31,12,2,1460,39,3,1,UPI
231,45,115420,1018,13,457,58,347,6,1,36,1,88,0,4,13,1,3079,41,2,9,Card
232,40,86315,1417,34,207,99,14,0,5,58,16,11,42,15,9,3,2258,40,7,2,Card
233,54,92834,2298,4,76,44,413,2,1,48,6,29,25,16,10,9,366,59,13,7,UPI
234,49,29153,2531,28,66,29,352,5,2,24,6,60,11,31,12,2,2991,13,6,19,Card
235,50,91325,1761,38,178,59,135,3,3,45,19,67,13,37,11,1,3741,14,1,6,Card
236,18,27999,407,31,193,71,84,6,3,54,8,65,24,31,8,0,85,44,2,11,UPI
237,36,70318,1459,27,261,92,174,2,4,27,1,61,7,19,3,2,2493,40,9,18,Card
238,19,15814,2069,5,301,9,287,0,2,25,13,19,42,1,6,9,4715,53,8,14,Cash
239,61,91077,2893,25,260,127,451,8,3,59,16,46,3,19,1,5,131,22,12,13,UPI
240,43,105474,991,3,389,134,333,5,4,32,0,49,27,17,6,8,903,18,4,15,NetBanking
241,49,17443,474,33,24,157,486,7,2,52,8,22,6,0,8,4,3456,48,1,13,Card
242,23,90993,2133,4,103,145,309,2,3,18,19,78,9,28,4,2,1221,29,2,2,NetBanking
243,49,90916,1464,25,327,144,299,7,1,46,18,57,35,28,14,4,1763,43,7,17,Card
244,21,88319,228,20,380,131,86,1,5,18,3,14,1,18,17,4,2804,16,3,5,Cash
245,28,32368,1114,34,478,21,307,3,2,37,7,44,25,39,3,4,1226,46,13,16,UPI
246,34,30328,1899,26,267,64,146,2,4,26,12,16,49,5,18,6,1284,35,1,13,NetBanking
247,55,71942,2816,5,73,90,115,9,2,9,3,97,13,38,19,4,689,53,1,13,UPI
248,41,106751,1481,35,180,36,104,0,4,35,8,77,15,7,6,6,4782,34,5,19,NetBanking
249,22,114131,616,28,453,62,144,6,2,8,8,12,42,23,7,8,4881,3,7,12,Card
250,69,42306,1618,29,441,170,77,9,4,20,17,55,41,19,16,4,4435,4,6,2,Cash
251,51,100451,185,9,430,76,156,1,3,54,11,51,16,13,12,1,4507,54,3,12,NetBanking
252,23,54915,1298,38,245,170,499,3,1,42,9,39,45,4,10,4,1996,5,1,1,NetBanking
253,39,52219,2458,6,34,13,487,8,3,22,10,33,21,39,0,7,4381,10,8,8,Cash
254,28,95879,1242,19,243,11,168,5,1,19,6,33,3,33,1,3,1109,52,3,12,Cash
255,65,79644,2574,44,80,54,393,7,3,30,8,29,18,15,16,1,4945,29,8,7,Cash
256,33,75279,2093,11,141,16,172,1,3,53,5,69,1,6,4,9,429,32,4,15,Cash
257,50,68028,2261,2,296,8,450,6,2,28,18,70,38,15,5,2,4126,31,13,2,Cash
258,26,119263,402,47,65,104,350,5,5,35,15,31,8,6,6,8,3781,2,11,12,UPI
259,23,15126,2891,44,472,59,198,8,4,43,14,80,18,26,14,8,602,12,14,3,Card
260,33,67329,687,44,409,57,424,6,4,11,6,31,15,13,18,7,439,27,11,17,Card
261,46,42632,1086,9,313,40,348,0,4,31,15,89,24,13,15,7,984,5,10,1,NetBanking
262,20,80310,1963,21,81,130,104,7,1,49,4,46,47,32,12,7,1918,37,10,19,Cash
263,37,70176,444,24,105,94,190,9,4,48,15,97,17,32,4,7,4507,27,13,14,UPI
264,53,101066,913,34,465,138,297,2,4,39,0,77,22,19,2,7,527,23,6,16,UPI
265,36,59327,2087,22,229,44,331,1,2,36,18,52,20,35,2,0,4405,33,11,9,NetBanking
266,43,83904,2948,3,97,139,196,2,3,30,4,10,10,6,18,5,2996,4,4,0,Cash
267,20,18797,1410,12,221,80,381,5,4,23,6,88,38,31,13,8,3467,59,14,5,Card
268,36,62882,2099,28,321,81,147,2,5,19,18,74,40,2,15,7,1361,21,1,2,Cash
269,37,28718,1777,30,416,2,139,9,4,12,4,41,3,38,16,2,703,24,5,18,UPI
270,49,49560,1427,26,242,178,203,4,1,15,16,95,24,28,3,0,662,44,6,6,Cash
271,24,91589,1192,48,241,140,325,5,1,31,7,77,31,23,12,1,364,31,13,12,Card
272,69,37116,2508,21,22,115,481,7,1,43,0,3,29,21,7,1,922,44,14,12,Card
273,58,51244,1109,28,497,90,282,6,4,37,1,59,44,5,18,6,3856,48,10,16,NetBanking
274,50,116721,803,26,25,23,361,7,2,37,14,52,25,23,4,5,175,24,12,0,UPI
275,57,16645,674,33,112,146,153,2,5,15,19,34,35,39,1,1,935,49,5,13,Cash
276,56,62523,1708,21,27,62,25,3,4,29,17,49,33,22,14,7,381,53,12,2,Cash
277,35,34256,1212,35,447,113,311,5,2,50,10,28,8,37,1,8,305,10,13,13,NetBanking
278,57,116376,787,34,254,128,432,6,2,43,9,83,11,9,10,6,4697,49,2,0,NetBanking
279,18,115158,2928,41,127,62,254,8,4,26,3,87,1,15,12,3,2390,49,9,15,NetBanking
280,28,68173,2732,47,180,38,424,0,4,44,4,96,37,10,9,0,2203,50,7,9,UPI
